test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,append,append_bytes,insert,insert_bytes,setup,setup_bytes,vl,total_time
ofs-update,0,1,0,1,32,256,3,2,0,0,0,0,0,0.011852,122400.000000,0,0.124164
ofs-update,0,1,0,1,32,256,3,2,16,0.025403,125680.000000,0.021724,87680.000000,0,0,16.000000,0.124164
ofs-update,0,1,0,1,32,256,3,2,128,0.026408,135280.000000,0.026226,126400.000000,0,0,128.000000,0.124164
ofs-update,0,1,0,1,4096,2048,3,2,0,0,0,0,0,0.264565,68078160.000000,0,2.332640
ofs-update,0,1,0,1,4096,2048,3,2,16,0.222739,25826400.000000,0.142876,8936784.000000,0,0,16.000000,2.332640
ofs-update,0,1,0,1,4096,2048,3,2,128,0.136785,17095536.000000,0.115657,8662368.000000,0,0,128.000000,2.332640
ofs-update,0,1,0,1,4096,2048,3,2,1024,0.132015,17094336.000000,0.137583,17094816.000000,0,0,1024.000000,2.332640
ofs-update,0,1,0,1,4096,16384,3,2,0,0,0,0,0,1.931946,545732688.000000,0,15.394328
ofs-update,0,1,0,1,4096,16384,3,2,16,0.401379,33127200.000000,0.153079,11106240.000000,0,0,16.000000,15.394328
ofs-update,0,1,0,1,4096,16384,3,2,128,0.980137,135209600.000000,0.717056,67811200.000000,0,0,128.000000,15.394328
ofs-update,0,1,0,1,4096,16384,3,2,1024,0.995553,135224000.000000,0.982962,135203120.000000,0,0,1024.000000,15.394328
ofs-update,0,1,0,1,4096,16384,3,2,4096,1.017150,135214160.000000,1.205367,135202640.000000,0,0,4096.000000,15.394328
ofs-update,0,1,0,1,4096,131072,3,2,0,0,0,0,0,36.548024,8603264640.000000,0,89.634618
ofs-update,0,1,0,1,4096,131072,3,2,16,0.522572,52397040.000000,0.300088,26153520.000000,0,0,16.000000,89.634618
ofs-update,0,1,0,1,4096,131072,3,2,128,6.605914,1615325808.000000,3.665616,807914064.000000,0,0,128.000000,89.634618
ofs-update,0,1,0,1,4096,131072,3,2,1024,6.725261,1615304208.000000,3.488037,808023744.000000,0,0,1024.000000,89.634618
ofs-update,0,1,0,1,4096,131072,3,2,4096,11.623002,2154282624.000000,7.136316,1615346208.000000,0,0,4096.000000,89.634618
ofs-update,0,1,0,1,4096,1048576,3,2,0,0,0,0,0,838.802295,69093610112.000000,0,982.145707
ofs-update,0,1,0,1,4096,1048576,3,2,16,2.252638,120586944.000000,1.047319,60239472.000000,0,0,16.000000,982.145707
ofs-update,0,1,0,1,4096,1048576,3,2,128,19.626881,3886448784.000000,2.796640,120666864.000000,0,0,128.000000,982.145707
ofs-update,0,1,0,1,4096,1048576,3,2,1024,34.520988,7533220560.000000,18.134049,3767131440.000000,0,0,1024.000000,982.145707
ofs-update,0,1,0,1,4096,1048576,3,2,4096,38.727684,7533222240.000000,15.829933,3767123040.000000,0,0,4096.000000,982.145707
ofs-update,0,1,0,1,4096,32,3,2,0,0,0,0,0,0.005052,14880.000000,0,0.047314
ofs-update,0,1,0,1,4096,32,3,2,16,0.009909,290112.000000,0.011183,152736.000000,0,0,16.000000,0.047314
ofs-update,0,1,0,1,4096,256,3,2,0,0,0,0,0,0.043746,8425296.000000,0,0.352746
ofs-update,0,1,0,1,4096,256,3,2,16,0.033765,2212688.000000,0.025172,1129264.000000,0,0,16.000000,0.352746
ofs-update,0,1,0,1,4096,256,3,2,128,0.033813,2211488.000000,0.036442,2203328.000000,0,0,128.000000,0.352746
ofs-update,1,1,0,1,128,2048,3,2,0,0,0,0,0,0.234624,3320400.000000,0,0.745858
ofs-update,1,1,0,1,128,2048,3,2,16,0.136209,1492128.000000,0.161533,997280.000000,0,0,16.000000,0.745858
ofs-update,1,1,0,1,128,2048,3,2,128,0.052698,849088.000000,0.050919,552224.000000,0,0,128.000000,0.745858
ofs-update,1,1,0,1,128,2048,3,2,1024,0.052703,851488.000000,0.054097,844288.000000,0,0,1024.000000,0.745858
ofs-update,1,1,0,1,128,16384,3,2,0,0,0,0,0,1.891134,26146896.000000,0,3.128183
ofs-update,1,1,0,1,128,16384,3,2,16,0.354293,2733120.000000,0.223251,1255840.000000,0,0,16.000000,3.128183
ofs-update,1,1,0,1,128,16384,3,2,128,0.107592,5198176.000000,0.105231,2826848.000000,0,0,128.000000,3.128183
ofs-update,1,1,0,1,128,16384,3,2,1024,0.107433,5197216.000000,0.112305,5212096.000000,0,0,1024.000000,3.128183
ofs-update,1,1,0,1,128,16384,3,2,4096,0.110031,5208736.000000,0.111180,5190016.000000,0,0,4096.000000,3.128183
ofs-update,1,1,0,1,128,32,3,2,0,0,0,0,0,0.011223,14880.000000,0,0.030125
ofs-update,1,1,0,1,128,32,3,2,16,0.008463,35200.000000,0.008852,31520.000000,0,0,16.000000,0.030125
ofs-update,1,1,0,1,128,256,3,2,0,0,0,0,0,0.039264,425808.000000,0,0.147256
ofs-update,1,1,0,1,128,256,3,2,16,0.026453,180832.000000,0.026077,142496.000000,0,0,16.000000,0.147256
